Date,Close
2023-01-03,120.95471954345703
2023-01-04,121.26872253417969
2023-01-05,118.91360473632812
2023-01-06,122.397216796875
2023-01-09,123.8200912475586
2023-01-10,124.58550262451172
2023-01-11,126.74435424804688
2023-01-12,127.68638610839844
2023-01-13,128.04949951171875
2023-01-17,128.62844848632812
2023-01-18,126.97003936767578
2023-01-19,125.48829650878906
2023-01-20,128.8835906982422
2023-01-23,131.8176727294922
2023-01-24,131.75880432128906
2023-01-25,131.48403930664062
2023-01-26,133.58399963378906
2023-01-27,134.14332580566406
2023-01-30,131.58213806152344
2023-01-31,133.4171905517578
2023-02-01,136.55734252929688
2023-02-02,140.2862548828125
2023-02-03,139.11849975585938
2023-02-06,137.42086791992188
2023-02-07,140.85540771484375
2023-02-08,139.1577606201172
2023-02-09,138.39234924316406
2023-02-10,137.75450134277344
2023-02-13,140.1390838623047
2023-02-14,140.73765563964844
2023-02-15,141.39511108398438
2023-02-16,138.94189453125
2023-02-17,137.2050018310547
2023-02-21,133.94708251953125
2023-02-22,133.7508087158203
2023-02-23,135.96853637695312
2023-02-24,133.5447540283203
2023-02-27,134.2611083984375
2023-02-28,133.96670532226562
2023-03-01,132.9853973388672
2023-03-02,134.62417602539062
2023-03-03,137.51898193359375
2023-03-06,138.1764678955078
2023-03-07,136.4591827392578
2023-03-08,137.5876922607422
2023-03-09,135.6152801513672
2023-03-10,133.23072814941406
2023-03-13,133.95689392089844
2023-03-14,137.04798889160156
2023-03-15,137.12648010253906
2023-03-16,140.97315979003906
2023-03-17,140.77691650390625
2023-03-20,141.15650939941406
2023-03-21,142.29734802246094
2023-03-22,140.88116455078125
2023-03-23,143.17262268066406
2023-03-24,143.54632568359375
2023-03-27,142.4350128173828
2023-03-28,141.76626586914062
2023-03-29,144.73631286621094
2023-03-30,146.41806030273438
2023-03-31,148.51284790039062
2023-04-03,148.2767791748047
2023-04-04,147.46051025390625
2023-04-05,145.77879333496094
2023-04-06,146.6049041748047
2023-04-10,146.5262451171875
2023-04-11,145.14938354492188
2023-04-12,144.32327270507812
2023-04-13,147.0081024169922
2023-04-14,146.19187927246094
2023-04-17,146.72291564941406
2023-04-18,147.17532348632812
2023-04-19,146.75241088867188
2023-04-20,145.78863525390625
2023-04-21,145.31655883789062
2023-04-24,144.67733764648438
2023-04-25,141.58924865722656
2023-04-26,143.69386291503906
2023-04-27,146.7425994873047
2023-04-28,148.33578491210938
2023-05-01,148.42430114746094
2023-05-02,147.0376434326172
2023-05-03,145.7984619140625
2023-05-04,145.1002197265625
2023-05-05,148.73902893066406
2023-05-08,148.6603546142578
2023-05-09,147.51956176757812
2023-05-10,149.3192596435547
2023-05-11,148.6505126953125
2023-05-12,148.45382690429688
2023-05-15,149.68313598632812
2023-05-16,149.8404998779297
2023-05-17,151.83692932128906
2023-05-18,154.94468688964844
2023-05-19,154.8758544921875
2023-05-22,155.1708984375
2023-05-23,152.87940979003906
2023-05-24,151.7582550048828
2023-05-25,157.58033752441406
2023-05-26,162.05511474609375
2023-05-30,162.9205780029297
2023-05-31,161.56336975097656
2023-06-01,163.20574951171875
2023-06-02,164.14007568359375
2023-06-05,163.19595336914062
2023-06-06,163.15658569335938
2023-06-07,160.71759033203125
2023-06-08,162.45834350585938
2023-06-09,163.2647705078125
2023-06-12,166.81509399414062
2023-06-13,167.8280487060547
2023-06-14,169.5589599609375
2023-06-15,171.74224853515625
2023-06-16,170.32606506347656
2023-06-20,169.17495727539062
2023-06-21,166.67173767089844
2023-06-22,168.03175354003906
2023-06-23,166.20852661132812
2023-06-26,165.01605224609375
2023-06-27,168.26828002929688
2023-06-28,168.36683654785156
2023-06-29,168.66249084472656
2023-06-30,171.3430938720703
2023-07-03,170.9784698486328
2023-07-05,169.92396545410156
2023-07-06,169.4706268310547
2023-07-07,168.7314910888672
2023-07-10,169.17495727539062
2023-07-11,169.53961181640625
2023-07-12,171.46136474609375
2023-07-13,173.69850158691406
2023-07-14,173.4422607421875
2023-07-17,175.65969848632812
2023-07-18,177.65045166015625
2023-07-19,177.2069854736328
2023-07-20,173.66893005371094
2023-07-21,173.58026123046875
2023-07-24,173.8857879638672
2023-07-25,175.8765411376953
